GENE,EXPRESSION
YHR051W,-0.034
YHR124W,-0.090
YKL181W,-0.167
YGR072W,0.245
YHL020C,0.174
YGR145W,0.387
YGL041C,0.285
YGR218W,-0.018
YOR202W,-0.432
YCR005C,0.085
YER187W,0.159
YBR026C,0.276
YMR244W,0.078
YMR317W,-0.181
YAR047C,-0.234
YIR031C,0.289
YDL177C,-0.002
YLR338W,-0.216
YGR073C,-0.125
YGR146C,-0.189
YOR130C,-0.025
YLR193C,0.124
YMR318C,0.068
YLR266C,-0.058
YGL114W,-0.009
YLR339C,-0.239
YFL062W,-0.192
YJR010W,-0.253
YHR052W,0.101
YKL182W,-0.140
YHR125W,-0.513
YHL021C,-0.130
YGR219W,-0.070
YGL042C,-0.075
YOR203W,-0.492
YCR006C,-0.067
YER188W,-0.322
YMR172W,0.162
YNL120C,-0.053
YBR027C,-0.210
YMR245W,0.095
YJR011C,-0.112
YIR032C,0.181
YHR053C,-0.656
YHR126C,-0.238
YPR110C,-0.120
YGR147C,0.158
YOR131C,-0.037
YAL016W,0.053
YLR194C,0.046
YMR319C,-0.182
YGL115W,-0.111
YFL063W,0.128
YDL178W,-0.131
YKL183W,-0.116
YGR074W,-0.074
YHL022C,-0.402
YDR493W,0.062
YOR204W,-0.033
YCR007C,-0.019
YFL064C,0.032
YER189W,0.211
YNL121C,0.162
YBR028C,0.004
YMR173W,-0.873
YMR246W,-0.001
YJR012C,0.124
YLR267W,0.199
YHR054C,-0.071
YGR075C,-0.075
YGR148C,-0.202
YOR205C,0.069
YAL017W,-0.122
YIL001W,-0.044
YMR174C,-0.070
YLR195C,-0.003
YGL043W,0.156
YGL116W,0.006
YOL100W,-0.119
YLR287C-A,-0.289
YDL179W,0.189
YIR033W,0.079
YAL018C,-0.227
YIL002C,-0.013
YHR127W,0.159
YKL184W,-0.030
YHL023C,0.127
YPR111W,0.148
YDR494W,0.193
YGL044C,0.162
YOR132W,0.079
YFL065C,0.003
YOL101C,-0.081
YBR029C,-0.032
YNL122C,-0.074
YIR034C,-0.085
YLR268W,-0.123
YHR055C,-0.867
YPR112C,0.227
YGR076C,0.145
YOR060C,-0.022
YDR495C,-0.011
YLR269C,0.015
YGL117W,-0.356
YCR008W,0.151
YJR013W,-0.048
YML070W,-0.053
YHR128W,-0.091
YKL185W,-0.076
YBR240C,0.009
YGR149W,-0.610
YOR133W,-0.260
YOR206W,0.145
YGL118C,0.069
YFL066C,0.042
YOL102C,-0.017
YCR009C,-0.145
YNL050C,0.301
YMR175W,0.018
YLR196W,0.130
YIR035C,-0.464
YHR056C,-0.112
YKL186C,0.157
YHR129C,-0.270
YGR077C,-0.064
YDR496C,0.208
YOR207C,-0.044
YAL019W,0.070
YIL003W,-0.071
YHL024W,0.154
YGL045W,-0.279
YNL123W,-0.049
YJR014W,0.070
YIL004C,-0.093
YPR040W,0.210
YBR241C,-0.056
YPR113W,-0.495
YOR061W,0.080
YOR134W,-0.363
YML072C,-0.034
YLR197W,0.020
YIR036C,0.047
YHR057C,0.166
YKL187C,0.999
YGR078C,-0.004
YOR062C,0.168
YOR135C,-0.092
YDR497C,-0.117
YHL025W,-0.001
YLR198C,0.104
YGL046W,-0.123
YGL119W,-0.072
YOL030W,-0.070
YFL067W,0.053
YOL103W,-0.075
YNL124W,0.161
YJR015W,-0.149
YDR200C,0.006
YPR041W,-0.059
YHL026C,-0.016
YPR114W,-0.137
YOR208W,-0.274
YOL031C,-0.414
YOL104C,-0.258
YNL125C,0.496
YMR177W,-0.154
YJR016C,-0.083
YML073C,-0.408
YHR058C,0.122
YKL188C,0.245
YDR498C,0.075
YOR209C,-0.160
YIL005W,0.077
YBR242W,0.021
YLR199C,0.078
YPL010W,-0.226
YGL047W,-0.158
YFL068W,0.026
YNL052W,0.103
YIR037W,-0.158
YBR170C,0.128
YGR079W,0.153
YPR115W,-0.047
YBR243C,-0.000
YPL011C,0.072
YOR063W,-0.406
YGL048C,0.153
YOR136W,-0.064
YOL105C,-0.032
YMR178W,-0.077
YML074C,0.118
YJR017C,-0.070
YIR038C,-0.181
YOR064C,0.243
YOR137C,-0.253
YDR201W,0.133
YIL006W,-0.077
YHL027W,-0.001
YOL032W,0.100
YNL053W,0.021
YNL126W,0.207
YGR290W,-0.044
YDR202C,0.118
YIL007C,0.057
YHR059W,0.043
YMR251W-A,-0.054
YKL189W,0.033
YPR043W,-0.292
YPR116W,-0.092
YDR499W,0.277
YGL049C,0.075
YMR179W,0.003
YML075C,-0.026
YGR291C,-0.345
YIR039C,-0.217
YOR138C,0.097
YBR171W,0.104
YBR244W,-0.050
YHL028W,-0.989
YPL012W,0.142
YOL033W,-0.024
YOL106W,-0.261
YNL054W,0.103
YNL127W,0.212
YJR018W,-0.127
YDR130C,0.099
YBR172C,0.169
YBR245C,0.233
YHL029C,0.126
YPR117W,0.119
YPL013C,0.196
YOR065W,0.193
YNL055C,0.004
YJR019C,0.508
YML076C,0.034
YPR045C,0.178
YOR139C,-0.002
YGL260W,-0.193
YIL008W,-0.167
YOL034W,0.526
YOL107W,-0.162
YER110C,0.050
YNL128W,-0.092
YGR292W,0.077
YDR131C,-0.025
YGL261C,-0.041
YBR173C,-0.014
YPR118W,-0.164
YOR066W,-0.271
YOL035C,-0.048
YOL108C,-0.027
YGR293C,-0.189
YOR350C,0.086
YOR067C,-0.296
YDR204W,0.073
YDL100C,-0.097
YIL009W,0.114
YBR246W,-0.115
YPL014W,-0.720
YNL056W,-0.147
YER111C,0.195
YNL129W,-0.010
YML077W,-0.086
YDR132C,0.043
YJR010C-A,-0.139
YPR046W,-0.068
YBR174C,-0.100
YBR247C,0.298
YPR119W,-0.234
YPL015C,-0.290
YER093C-A,0.085
YOR351C,0.480
YOR068C,0.083
YDR205W,0.051
YGL262W,-0.261
YDL101C,0.262
YBL070C,-0.108
YJL200C,0.195
YOL036W,0.015
YOL109W,0.260
YNL057W,-0.523
YML078W,-0.148
YGR294W,-0.169
YDR133C,0.064
YGL190C,-0.007
YPR047W,-0.182
YBR248C,-0.258
YOL037C,-0.004
YNL058C,-0.515
YGR295C,-0.150
YER112W,0.193
YDR060W,0.139
YCR081W,0.213
YDR206W,0.008
YGL263W,-0.562
YCL050C,-0.252
YBR175W,-0.066
YBL071C,-0.033
YER113C,-0.023
YML079W,-0.001
YOR352W,0.154
YDR207C,0.084
YPR048W,0.113
YJR160C,-0.097
YBR249C,-0.260
YOR069W,0.075
YPL017C,0.031
YDL102W,0.043
YNL059C,0.221
YOR280C,-0.053
YOR353C,0.025
YJL201W,0.013
YPR049C,0.377
YER040W,0.098
YDR061W,0.042
YGL191W,0.030
YCR082W,0.065
YDL103C,0.113
YBR176W,-0.019
YBL072C,-0.342
YOL038W,0.079
YJL202C,0.064
YIL150C,-0.043
YER114C,0.021
YGR296W,0.015
YDR135C,0.170
YNL270C,1.046
YBR177C,-0.303
YJR161C,-0.195
YDL030W,0.244
YCL051W,-0.134
YOR281C,0.226
YOR354C,0.022
YFR020W,-0.225
YER041W,-0.146
YDR062W,-0.171
YGL192W,-0.094
YDR208W,0.266
YCR083W,-0.050
YDL104C,0.082
YCL052C,-0.040
YPL018W,-0.074
YJL130C,-0.228
YOL039W,-0.190
YIL151C,-0.112
YER115C,0.025
YDR136C,0.085
YGL193C,-0.222
YCR084C,0.044
YDR209C,-0.121
YLR120C,-0.530
YNL271C,-0.161
YJR162C,0.198
YEL010W,-0.580
